,n_gram_size,assembled_sentence,sentence
175,2,GSN_FSAPPENDCONF,GSN FSAPPENDCONF
176,2,GSN_FSAPPENDREQ,GSN FSAPPENDREQ
177,3,GSN_LQH_TRANSCONF,GSN LQH TRANSCONF
178,3,GSN_LQH_TRANSREQ,GSN LQH TRANSREQ
179,5,GTK_MOZ_EMBED_FLAG_TOOLBARON,GTK MOZ EMBED FLAG TOOLBARON
180,4,G_DATE_BAD_MONTH,G DATE BAD MONTH
181,3,GenModFigure,Gen Mod Figure
182,4,GetAtkSignalName,Get Atk Signal Name
183,5,GetAudioSamplesPerSec,Get Audio Samples Per Sec
184,5,GetCapabilitiesKvpRequestReader,Get Capabilities Kvp Request Reader
185,3,GetFirstEv,Get First Ev
186,4,GetHighestInlineParent,Get Highest Inline Parent
187,4,GetMinRowHeight,Get Min Row Height
188,5,GetNormalizedPathSegList,Get Normalized Path Seg List
189,5,GetOfflineOpForKey,Get Offline Op For Key
190,2,GetRuntime,Get Runtime
191,4,GetUpData_MLDONKEY,Get Up Data MLDONKEY
192,3,GetWSIsEnabled,Get WSIs Enabled
193,3,GtkStateType,Gtk State Type
194,1,Gvp,Gvp
195,4,HAVE_DECL_SYS_SIGLIST,HAVE DECL SYS SIGLIST
196,3,HAVE_trunctfdf2,HAVE trunctfdf 2
197,2,HF_LAMBDAFN,HF LAMBDAFN
198,2,HITField.Description,HITField Description
199,3,HSoundsPreferencePanel,HSounds Preference Panel
200,3,HZ_STATE_GB,HZ STATE GB
201,4,HandleUnregisterURLEchoEvent,Handle Unregister URLEcho Event
202,2,HistogramConfig,Histogram Config
203,4,IAX_IE_CALLED_CONTEXT,IAX IE CALLED CONTEXT
204,2,IActionProvider,IAction Provider
205,3,ICY_METADATA_INTERVAL,ICY METADATA INTERVAL
206,3,IClientDataItem,IClient Data Item
207,4,ID3FID_YEAR,ID 3 FID YEAR
208,3,IDC_EDIT_DATETIME,IDC EDIT DATETIME
209,4,IDC_EDIT_QUAKE2,IDC EDIT QUAKE 2
210,2,IDC_METANAME,IDC METANAME
211,3,IDC_TEXTWIN_COPY,IDC TEXTWIN COPY
212,2,IDC_UPDATESERVERCLIENT,IDC UPDATESERVERCLIENT
213,2,IDI_TESTPASSED,IDI TESTPASSED
214,2,IDI_UNINSTALL,IDI UNINSTALL
215,3,IDL_node_new,IDL node new
216,4,IDL_type_fixed_new,IDL type fixed new
217,3,IDS_DL_RESUMENEXT,IDS DL RESUMENEXT
218,2,IDS_HSAV,IDS HSAV
219,3,IDS_IRC_DISCONNECT,IDS IRC DISCONNECT
220,2,IDS_LASTSEEN,IDS LASTSEEN
221,7,IEC61883_AMDTP_FORMAT_IEC958_PCM,IEC 61883 AMDTP FORMAT IEC 958 PCM
222,4,IFTypeManager.IF_ATTACHMENTS,IFType Manager IF ATTACHMENTS
223,3,IID_IHTMLElementCollection,IID IHTMLElement Collection
224,2,IMAGE_BITMAP,IMAGE BITMAP
225,3,INIT_BLOCK_SIZE,INIT BLOCK SIZE
226,2,INTEL_SPINLOCKS,INTEL SPINLOCKS
227,4,INT_ROW_HOLIDAYS_START,INT ROW HOLIDAYS START
228,4,IPC_PlatformSendMsg,IPC Platform Send Msg
229,1,ISBADADR,ISBADADR
230,3,ITagLibErrors,ITag Lib Errors
231,6,IbisSerializationOutputStream.enumClass,Ibis Serialization Output Stream enum Class
232,3,ImageMatrix.yy,Image Matrix yy
233,3,ImageToPDF,Image To PDF
234,3,Individual.NOT_INHERITABLE,Individual NOT INHERITABLE
235,3,InitBrowserMenu,Init Browser Menu
236,3,InitLicTxt,Init Lic Txt
237,2,InitThread,Init Thread
238,2,InstantiationSet,Instantiation Set
239,4,IonoStationEditAction,Iono Station Edit Action
240,6,Is7bitNonAsciiString,Is 7 bit Non Ascii String
241,3,Item_func_lt,Item func lt
242,3,JAVA_SIGNATURE_UNKNOWN,JAVA SIGNATURE UNKNOWN
243,2,JAVA_T,JAVA T
244,4,JAWE_AUTOSAVE_PROPERTYFILE_NAME,JAWE AUTOSAVE PROPERTYFILE NAME
245,2,JCEProviderObject,JCEProvider Object
246,3,JCasFunctionTag,JCas Function Tag
247,3,JDBCAppender.PASSWORD_OPTION,JDBCAppender PASSWORD OPTION
248,3,JRMeterChartFactory,JRMeter Chart Factory
249,3,JSD_GetJSScript,JSD Get JSScript
250,5,JSPRegularExpressions.HTML_A_PATTERN,JSPRegular Expressions HTML A PATTERN
251,4,JS_GetFrameAnnotation,JS Get Frame Annotation
252,3,JS_NEW_LOCK,JS NEW LOCK
253,2,JTRC_ADOBE,JTRC ADOBE
254,1,JXBroadcast,JXBroadcast
255,4,JameleonScriptExceptionTest,Jameleon Script Exception Test
256,5,Java2ObjectTypeConverter,Java 2 Object Type Converter
257,5,JavassistInstrumentorEngineTaskTest,Javassist Instrumentor Engine Task Test
258,3,JmiChangeSet,Jmi Change Set
259,3,KERN_PAIR_KPY,KERN PAIR KPY
260,2,KeyFallback,Key Fallback
261,3,Keyboard.KEY_LCONTROL,Keyboard KEY LCONTROL
262,4,L1_WO_WAEN,L 1 WO WAEN
263,3,LARGE_NUM_SOCKETS,LARGE NUM SOCKETS
264,2,LBCarryMask,LBCarry Mask
265,3,LC_LOAD_DYLIB,LC LOAD DYLIB
266,3,LDAP_CONTROL_PWEXPIRED,LDAP CONTROL PWEXPIRED
267,2,LEX_INFINITY,LEX INFINITY
268,2,LIBERIA_ID,LIBERIA ID
269,2,LIS_SUCCESS,LIS SUCCESS
270,2,LL_DEBUG,LL DEBUG
271,3,LMTOS_LCP_CONCLUDING,LMTOS LCP CONCLUDING
272,2,LM_SELECTITEM,LM SELECTITEM
273,1,LOADCHOICES,LOADCHOICES
274,2,LOCKED_DBT,LOCKED DBT
275,4,LOCKED_OBJ_GET_PROTO,LOCKED OBJ GET PROTO
276,3,LOGON_PRIVILEGE_NAME,LOGON PRIVILEGE NAME
277,2,LOOKUP_COMPLETE,LOOKUP COMPLETE
278,2,LPCM_AUDIO,LPCM AUDIO
279,2,LProgressBar,LProgress Bar
280,2,LSold.Mode,LSold Mode
281,2,LTRAmPTable,LTRAm PTable
282,1,LVBKIMAGE,LVBKIMAGE
283,6,LdapAttrbConst.ATTRIBUTE_MULTI_VALUED,Ldap Attrb Const ATTRIBUTE MULTI VALUED
284,2,Link.INVERSEPROP,Link INVERSEPROP
285,3,LogReaderSOAPService,Log Reader SOAPService
286,2,MAC_STARTUP,MAC STARTUP
287,1,MALAY,MALAY
288,4,MAP_VIEW_CENTRE_LONG,MAP VIEW CENTRE LONG
289,1,MAXUSERNAMELEN,MAXUSERNAMELEN
290,3,MAX_URI_SIZE,MAX URI SIZE
291,2,MD.Tempo,MD Tempo
292,4,MESSAGE_TYPE_STOP_ASSOC,MESSAGE TYPE STOP ASSOC
293,2,MF_ENABLED,MF ENABLED
294,1,MIDIError,MIDIError
295,2,MIFValueSetter,MIFValue Setter
296,7,MIN_NUMBER_OF_SIG_PER_DO_JOB,MIN NUMBER OF SIG PER DO JOB
297,2,MIN_PROBABILITY,MIN PROBABILITY
298,3,MJ_FAILED_MARSHALING,MJ FAILED MARSHALING
299,4,MK_LDAP_OBJECT_CLASS,MK LDAP OBJECT CLASS
300,4,MLetTag.ArgTag,MLet Tag Arg Tag
301,2,MNG_CANNOTBEEMPTY,MNG CANNOTBEEMPTY
302,4,MNG_FN_INIT_SEEK,MNG FN INIT SEEK
303,5,MNG_FN_PROCESS_DISPLAY_TRNS,MNG FN PROCESS DISPLAY TRNS
304,4,MNG_FN_WRITE_FRAM,MNG FN WRITE FRAM
305,4,MNG_FN_WRITE_JDAT,MNG FN WRITE JDAT
306,4,MOS1phiGiven,MOS 1 phi Given
307,3,MOS2_CQBD,MOS 2 CQBD
308,5,MOS2bulkJctPotential,MOS 2 bulk Jct Potential
309,3,MOS3_VGS,MOS 3 VGS
310,3,MOZILLA_VERSION_PROP,MOZILLA VERSION PROP
311,5,MP4GetTrackDuration,MP 4 Get Track Duration
312,6,MP4SetTrackTimeScale,MP 4 Set Track Time Scale
313,4,MP4TableProperty,MP 4 Table Property
314,4,MPEG1_BUFFERINFO_LENGTH,MPEG 1 BUFFERINFO LENGTH
315,2,MP_RESUMENEXT,MP RESUMENEXT
316,4,MSG_DNS_LOOKUP_COMPLETE,MSG DNS LOOKUP COMPLETE
317,3,MY_KEEP_PREALLOC,MY KEEP PREALLOC
318,5,MY_LEX_END_LONG_COMMENT,MY LEX END LONG COMMENT
319,5,MaxNoOfAttemptsC,Max No Of Attempts C
320,2,MedlineImporter,Medline Importer
321,7,MenuBuilder.ATTACK_MENU_RELATED_DEST_1,Menu Builder ATTACK MENU RELATED DEST 1
322,4,MenuItemInfo.cch,Menu Item Info cch
323,4,MetaDoorExceptionHandler,Meta Door Exception Handler
324,5,MimeMultipartSignedCMS_initialize,Mime Multipart Signed CMS initialize
325,4,ModifiableTableChangeEvent,Modifiable Table Change Event
326,1,NAMEKeyword,NAMEKeyword
327,2,NAME_STATE,NAME STATE
328,2,NMEA_strings,NMEA strings
329,1,NOFUN,NOFUN
330,3,NSCP_MAPIDeleteMail,NSCP MAPIDelete Mail
331,4,NSC_SignEncryptUpdate,NSC Sign Encrypt Update
332,5,NSSCMSRecipientInfoID_KeyTrans,NSSCMSRecipient Info ID Key Trans
333,5,NSS_CMSDigestContext_FinishSingle,NSS CMSDigest Context Finish Single
334,5,NS_CHARSET_DETECTOR_CONTRACTID_BASE,NS CHARSET DETECTOR CONTRACTID BASE
335,3,NS_DECL_NSIWMPSETTINGS,NS DECL NSIWMPSETTINGS
336,3,NS_ERRORSERVICE_CONTRACTID,NS ERRORSERVICE CONTRACTID
337,4,NS_FRAME_IS_COMPLETE,NS FRAME IS COMPLETE
338,5,NS_FRAME_TRACE_REFLOW_OUT,NS FRAME TRACE REFLOW OUT
339,4,NS_HKEY_CURRENT_USER,NS HKEY CURRENT USER
340,4,NS_HTTP_STICKY_CONNECTION,NS HTTP STICKY CONNECTION
341,3,NS_IROBOTSINK_IID,NS IROBOTSINK IID
342,5,NS_LOADER_DATA_ALLOC_STEP,NS LOADER DATA ALLOC STEP
343,5,NS_MATHML_PSEUDO_UNIT_LSPACE,NS MATHML PSEUDO UNIT LSPACE
344,5,NS_NET_STATUS_WROTE_TO,NS NET STATUS WROTE TO
345,3,NS_NNTPINCOMINGSERVER_CONTRACTID,NS NNTPINCOMINGSERVER CONTRACTID
346,3,NS_PRINTINGPROMPTSERVICE_CONTRACTID,NS PRINTINGPROMPTSERVICE CONTRACTID
347,4,NS_QUICKLAUNCH_RUN_KEY,NS QUICKLAUNCH RUN KEY
348,4,NS_REGRESSION_TESTER_CID,NS REGRESSION TESTER CID
349,3,NS_SCHEMAANYPARTICLE_CONTRACTID,NS SCHEMAANYPARTICLE CONTRACTID
350,4,NS_STYLE_CURSOR_DEFAULT,NS STYLE CURSOR DEFAULT
351,5,NS_STYLE_VERTICAL_ALIGN_MIDDLE,NS STYLE VERTICAL ALIGN MIDDLE
352,4,NS_UNICODETOCP855_CID,NS UNICODETOCP 855 CID
353,3,NTLMSSP_NEGOTIATE_NTLM,NTLMSSP NEGOTIATE NTLM
354,5,NT_STATUS_EVENTLOG_FILE_CHANGED,NT STATUS EVENTLOG FILE CHANGED
355,2,NXKeyDelete,NXKey Delete
356,3,N_EL_FRAME,N EL FRAME
357,3,NaNIndices.length,Na NIndices length
358,5,NewContainerDialog_error_enterpath,New Container Dialog error enterpath
359,4,NewEventHandlerUPP,New Event Handler UPP
360,3,NextFocusMatcher,Next Focus Matcher
361,4,OBJ_SZ_TO_BLOCKS,OBJ SZ TO BLOCKS
362,2,OFdefIOs,OFdef IOs
363,3,OPT_STOP_DATETIME,OPT STOP DATETIME
364,2,OP_TYPEUPTO,OP TYPEUPTO
365,5,OS_THREAD_PRIORITY_ABOVE_NORMAL,OS THREAD PRIORITY ABOVE NORMAL
366,2,OUTF_W,OUTF W
367,3,OnFileSaveas,On File Saveas
368,3,OnMsgClose,On Msg Close
369,3,OnOptionDisabled,On Option Disabled
370,2,Order.LT,Order LT
371,2,PAR_INTEGERKEY,PAR INTEGERKEY
372,2,PCS_NOTVERIFIED,PCS NOTVERIFIED
373,3,PK11_ALWAYS,PK 11 ALWAYS
374,3,PK11_SETATTRS,PK 11 SETATTRS
375,7,PKCS11Constants.CKM_RC5_ECB,PKCS 11 Constants CKM RC 5 ECB
376,2,PKCS9,PKCS 9
377,3,PLUGINS_DIR_NAME,PLUGINS DIR NAME
378,3,PLUGIN_LOG_NAME,PLUGIN LOG NAME
379,4,PLUS_OP__START_OFFSET,PLUS OP START OFFSET
380,2,PL_strdup,PL strdup
381,4,PNG_WRITE_PACK_SUPPORTED,PNG WRITE PACK SUPPORTED
382,2,POLYGON_EXCL,POLYGON EXCL
383,3,PROP_TASK_DESC,PROP TASK DESC
384,2,PRRecvfromFN,PRRecvfrom FN
385,3,PRSeek64FN,PRSeek 64 FN
386,5,PR_CONTACT_DEFAULT_ADDRESS_INDEX,PR CONTACT DEFAULT ADDRESS INDEX
387,3,PR_CallOnce,PR Call Once
388,5,PR_HOME_ADDRESS_COUNTRY_W,PR HOME ADDRESS COUNTRY W
389,3,PR_INSERT_LINK,PR INSERT LINK
390,3,PSY_ALPHA_VERSION,PSY ALPHA VERSION
391,2,PS_COMPLETE,PS COMPLETE
392,5,PdfAnnotPlugin.EDITOR_ID,Pdf Annot Plugin EDITOR ID
393,4,Ph_CURSOR_QUESTION_POINT,Ph CURSOR QUESTION POINT
394,4,Pk11Install_Platform,Pk 11 Install Platform
395,2,PluginVClient,Plugin VClient
396,4,PovReflectionGeneImpl,Pov Reflection Gene Impl
397,2,PrefetchHref,Prefetch Href
398,2,ProcessorC,Processor C
399,5,ProjectElement.INCLUDE_BASE_TAG,Project Element INCLUDE BASE TAG
400,6,Project_ID3.chemin_mp3,Project ID 3 chemin mp 3
401,5,Pt_ARG_MOZ_AUTH_CTRL,Pt ARG MOZ AUTH CTRL
402,4,PyEval_ReleaseThread,Py Eval Release Thread
403,2,QWheelEvent,QWheel Event
404,2,Q_isalpha,Q isalpha
405,9,QoSDrxAlarmEventReceiverEventHandlerImplShell,Qo SDrx Alarm Event Receiver Event Handler Impl Shell
406,4,Qt.Key.Key_Up,Qt Key Key Up
407,6,QueryField.field_type.alpha_field,Query Field field type alpha field
408,4,RAW_CD_SECTOR_SIZE,RAW CD SECTOR SIZE
409,3,RBACResourceTypeEntry,RBACResource Type Entry
410,2,READ_FIFO,READ FIFO
411,2,REFTREES_CHILDREFID,REFTREES CHILDREFID
412,4,REGISTEREDBY_AD_Reference_ID,REGISTEREDBY AD Reference ID
413,3,RELOAD_MIN_TIME,RELOAD MIN TIME
414,3,REPEAT_TYPE_DAILY,REPEAT TYPE DAILY
415,1,RMIApp,RMIApp
416,3,ROT_Y_LEFT,ROT Y LEFT
417,2,RaistlinServlet,Raistlin Servlet
418,4,Record.PROC_EXEC_FAILURE,Record PROC EXEC FAILURE
419,4,RefondeDialogProprietesProjet,Refonde Dialog Proprietes Projet
420,3,RegisterUtf8,Register Utf 8
421,7,RegistryMessages.meta_registryCacheWriteProblems,Registry Messages meta registry Cache Write Problems
422,3,Resources.EXT_PSX,Resources EXT PSX
423,2,SBS_VERT,SBS VERT
424,4,SCRAMBLED_PASSWORD_CHAR_LENGTH,SCRAMBLED PASSWORD CHAR LENGTH
425,2,SECKEYKeyDBHandle,SECKEYKey DBHandle
426,1,SECUREOSF,SECUREOSF
427,4,SECURE_RANDOM_ALGO_NAME,SECURE RANDOM ALGO NAME
428,3,SEC_SignData,SEC Sign Data
429,3,SET_AND_EXPR,SET AND EXPR
430,4,SF_FORMAT_SD2,SF FORMAT SD 2
431,5,SHOW_SSL_CTX_SESS_ACCEPT,SHOW SSL CTX SESS ACCEPT
432,5,SHOW_SSL_CTX_SESS_HITS,SHOW SSL CTX SESS HITS
433,3,SIMPLE_SCROLL_MODE,SIMPLE SCROLL MODE
434,4,SMB_GROUP_QUOTA_TYPE,SMB GROUP QUOTA TYPE
435,3,SMTP_TLS_RESPONSE,SMTP TLS RESPONSE
436,5,SND_PCM_HW_PARAM_PERIODS,SND PCM HW PARAM PERIODS
437,5,SND_SEQ_EVENT_INSTR_LIST,SND SEQ EVENT INSTR LIST
438,2,SOUNDTRACK_WEATHERAMBIENCE,SOUNDTRACK WEATHERAMBIENCE
439,5,SPL_ARCH_W32ALPHA,SPL ARCH W 32 ALPHA
440,3,SPOOL_Q_REPLYOPENPRINTER,SPOOL Q REPLYOPENPRINTER
441,3,SQLCOM_SHOW_PROCESSLIST,SQLCOM SHOW PROCESSLIST
442,3,SQL_DIRECTORY_ATTR,SQL DIRECTORY ATTR
443,6,SSL_ERROR_RX_MALFORMED_APPLICATION_DATA,SSL ERROR RX MALFORMED APPLICATION DATA
444,5,SSL_ERROR_RX_UNKNOWN_ALERT,SSL ERROR RX UNKNOWN ALERT
445,4,SSL_set_accept_state,SSL set accept state
446,3,STATEMENTEDIT_BUF_SIZE,STATEMENTEDIT BUF SIZE
447,3,SUBLANG_ARABIC_EGYPT,SUBLANG ARABIC EGYPT
448,3,SUNOS5DL,SUNOS 5 DL
449,4,SV_AreaEntities_r,SV Area Entities r
450,4,SV_ConSay_f,SV Con Say f
451,4,SV_RankReportStr,SV Rank Report Str
